word,year_quarter,n,total,tf,idf,tf_idf
сутка_noun,2020_Q_4,54,4325,0.03545633617859488,0.6632942174102642,0.023517982757816327
алғашқа_noun,2020_Q_4,12,4325,0.007879185817465528,2.803360380906535,0.02208819735448353
жұқтырғандар_noun,2020_Q_4,14,4325,0.009192383453709783,2.3978952727983707,0.02204237282940065
минздрав_noun,2020_Q_4,14,4325,0.009192383453709783,2.3978952727983707,0.02204237282940065
вакциный_noun,2021_Q_1,57,5729,0.029336078229541946,1.7047480922384253,0.05001062339556883
коронавирусный_adj,2021_Q_1,63,5729,0.03242408646423057,1.4170660197866443,0.04594707115108522
заболевший_noun,2021_Q_1,50,5729,0.02573340195573855,1.7047480922384253,0.043868967890849854
қарс_noun,2021_Q_1,65,5729,0.033453422542460115,1.1939224684724346,0.03994079282074537
адамдар_noun,2021_Q_1,22,5729,0.011322696860524962,3.4965075614664802,0.03958989518901831
коронавирусқ_noun,2021_Q_1,42,5729,0.02161605764282038,1.7047480922384253,0.036849933028313873
"""вконтакт_noun",2021_Q_1,17,5729,0.008749356664951106,3.4965075614664802,0.03059219173696869
парақшамызғ_noun,2021_Q_1,17,5729,0.008749356664951106,3.4965075614664802,0.03059219173696869
тіркеліңіз_noun,2021_Q_1,17,5729,0.008749356664951106,3.4965075614664802,0.03059219173696869
болада_noun,2021_Q_1,29,5729,0.014925373134328358,1.8870696490323797,0.028165218642274323
ақпанда_noun,2021_Q_1,15,5729,0.007720020586721565,3.4965075614664802,0.026993110356148844
брифингт_noun,2021_Q_1,15,5729,0.007720020586721565,3.4965075614664802,0.026993110356148844
оқисыз_verb,2021_Q_1,15,5729,0.007720020586721565,3.4965075614664802,0.026993110356148844
салынада_noun,2021_Q_1,18,5729,0.009264024704065878,2.803360380906535,0.025970399823117666
бар_noun,2021_Q_1,34,5729,0.017498713329902212,1.4170660197866443,0.024796832049792022
вакциный_noun,2021_Q_2,66,6090,0.044928522804629,1.7047480922384253,0.07659181353828187
кейін_noun,2021_Q_2,31,6090,0.02110279101429544,2.1102132003465894,0.044531388162521626
