word,year_month,n,total,tf,idf,tf_idf
обрезание_noun,2019-02,25,9132,0.0027376259307928166,2.545531271604435,0.006968712416788313
врач_noun,2019-02,112,9132,0.012264564169951819,0.5645298027378517,0.006923711991528624
больница_noun,2019-02,89,9132,0.009745948313622427,0.6931471805599453,0.006755376595470339
операция_noun,2019-02,142,9132,0.015549715286903198,0.32090772008010127,0.004990023680614803
больница_noun,2019-03,151,15135,0.009976874793524942,0.6931471805599453,0.0069154426339313995
врач_noun,2019-03,172,15135,0.011364387182028412,0.5645298027378517,0.00641553525410707
медицинский_adj,2019-03,132,15135,0.008721506442021803,0.6176396280518002,0.005386747994901726
ребенок_noun,2019-03,167,15135,0.011034027089527585,0.4818380868927384,0.005316614503540621
помощь_noun,2019-03,118,15135,0.007796498183019491,0.6546808997321493,0.0051042184452192675
врач_noun,2019-04,136,8385,0.01621943947525343,0.5645298027378517,0.009156356967483343
больница_noun,2019-04,91,8385,0.010852713178294573,0.6931471805599453,0.007522527540960646
ребенок_noun,2019-04,127,8385,0.015146094215861657,0.4818380868927384,0.007297965060867951
помощь_noun,2019-04,60,8385,0.007155635062611807,0.6546808997321493,0.004684657600945612
клизм_noun,2019-04,14,8385,0.0016696481812760882,2.6790626642289577,0.004473092104854551
врач_noun,2019-05,211,13919,0.015159134995330125,0.5645298027378517,0.00855778348859018
больница_noun,2019-05,124,13919,0.008908685968819599,0.6931471805599453,0.00617503056178125
ребенок_noun,2019-05,132,13919,0.009483439902291831,0.4818380868927384,0.0045694825396825536
медицинский_adj,2019-05,102,13919,0.0073281126517709605,0.6176396280518002,0.004526132772561507
рецепт_noun,2019-05,48,13919,0.0034485236008333932,1.0696247517948574,0.003688626200600126
врач_noun,2019-06,262,13453,0.01947520999033673,0.5645298027378517,0.010994336454123033
противотуберкулзный_adj,2019-06,33,13453,0.0024529844644317253,2.6790626642289577,0.006571699094592701
медицинский_adj,2019-06,142,13453,0.010555266483312273,0.6176396280518002,0.006519350864740625
больница_noun,2019-06,123,13453,0.009142942094700067,0.6931471805599453,0.0063374045349641915
область_noun,2019-06,110,13453,0.008176614881439084,0.6359887667199967,0.005200235214390815
био_noun,2019-07,1,37,0.02702702702702703,4.624972813284271,0.12499926522389922
будьть_noun,2019-07,1,37,0.02702702702702703,4.624972813284271,0.12499926522389922
необычайный_adj,2019-07,1,37,0.02702702702702703,3.9318256327243257,0.106265557641198
упустеть_verb,2019-07,1,37,0.02702702702702703,3.9318256327243257,0.106265557641198
анкета_noun,2019-07,1,37,0.02702702702702703,3.5263605246161616,0.09530704120584221
нацкалендарь_noun,2019-07,1,37,0.02702702702702703,3.5263605246161616,0.09530704120584221
корь_noun,2019-08,5,105,0.047619047619047616,1.257676983297797,0.05988938015703795
атлантоосевый_adj,2019-08,1,105,0.009523809523809525,4.624972813284271,0.04404736012651687
годавозросло_verb,2019-08,1,105,0.009523809523809525,4.624972813284271,0.04404736012651687
жалд_noun,2019-08,1,105,0.009523809523809525,4.624972813284271,0.04404736012651687
зарегистрировалаоколо_verb,2019-08,1,105,0.009523809523809525,4.624972813284271,0.04404736012651687
тысячахзаболевший_adj,2019-08,1,105,0.009523809523809525,4.624972813284271,0.04404736012651687
түлегіна_noun,2019-08,1,105,0.009523809523809525,4.624972813284271,0.04404736012651687
үйлердный_adj,2019-08,1,105,0.009523809523809525,4.624972813284271,0.04404736012651687
актриса_noun,2019-09,4,117,0.03418803418803419,2.1400661634962708,0.07316465516226567
&quot;пробный_adj,2019-09,1,117,0.008547008547008548,4.624972813284271,0.03952968216482283
&quot_noun,2019-09,1,117,0.008547008547008548,4.624972813284271,0.03952968216482283
